1030,"Nielit - Formerly Doeacc, Srinagar",246,10301001,10301246,Jammu and Kashmir
1085,"Nirma University, Institute Of Technology, Ahmedabad",246,10851001,10851246,Gujarat
1105,Nitte Meenakshi Institute Of Technology,184,11051001,11051184,Karnataka
1106,"Nitttr, Chandigarh",246,11061001,11061246,Punjab
1182,NK Orchid College Of Engineering Technology Hipparaga,184,11821001,11821184,Maharashtra
1103,NMIM MPSTME Shirpur,184,11031001,11031184,Maharashtra
1052,"Noorul Islam Centre For Higher Education, Thuckalay",246,10521001,10521246,Tamil Nadu
1241,"Nri Institute Of Information Science & Technology, Bhopal",246,12411001,12411246,Madhya Pradesh
1258,"Om Institute Of Technology & Management, Hisar",246,12581001,12581246,Haryana
1325,OP Jindal Institute of Technology,150,13251001,13251150,Chhattisgarh
1233,P E S College of Engineering,150,12331001,12331150,Karnataka
1014,"P. V. P. Siddhartha Institute Of Technology, Kanuru",286,10141001,10141286,Andhra Pradesh
1323,Paavai Engineering College,150,13231001,13231150,Tamil Nadu
1051,"Pacific Institute Of Technology, Udaipur",246,10511001,10511246,Rajasthan
1049,PDE Association College Of Engineering,184,10491001,10491184,Maharashtra
1135,"Periyar Maniammai University, Vallam",246,11351001,11351246,Tamil Nadu
1107,"Poornima College Of Engineering, Sitapura",246,11071001,11071246,Rajasthan
1050,"Prasad Engineering College, Jangaon",246,10501001,10501246,Andhra Pradesh
1219,"Prestige Institute Of Engineering & Science, Indore",246,12191001,12191246,Madhya Pradesh
1280,"Priyadarshini College Of Engineering Nagpur, Nagpur",246,12801001,12801246,Maharashtra
1193,"Prof. Ram Meghe Institute Of Technology & Research, Badnera",286,11931001,11931286,Maharashtra
1136,"Psg College Of Technology, Coimbatore",246,11361001,11361246,Tamil Nadu
1017,"Pvg`S College Of Engineering & Technology, Pune",44,10171001,10171044,Maharashtra
1108,"R. C. Patel Institute Of Technology, Shirpur",246,11081001,11081246,Maharashtra
1254,Raj Kumar Goel Institute of Technology for Women,150,12541001,12541150,Uttar Pradesh
1138,"Rajalakshmi Engineering College, Chennai",246,11381001,11381246,Tamil Nadu
1139,"Rajarambapu Institute Of Technology, Islampur",246,11391001,11391246,Maharashtra
1109,"Rajiv Gandhi Proudyogiki Vishwavidyalay, Bhopal",246,11091001,11091246,Madhya Pradesh
1202,"Ratnavel Subramaniam College Of Engineering And Technology, Dindigul",246,12021001,12021246,Tamil Nadu
1287,"Rayat-bahra Innovative Institute Of Technology & Management, Ganaur",246,12871001,12871246,Haryana
1223,"Rbs Engineering Technical Campus, Bichpuri",246,12231001,12231246,Uttar Pradesh
1110,"Regency Institute Of Technology, Adivipolam",246,11101001,11101246,Pondicherry
8002,Reliance IITM Telecom Centre of Excellence,274,80021001,80021274,Andhra Pradesh
1224,"Reva Institute Of Technology & Management, Yelahanka",246,12241001,12241246,Karnataka
1137,"Rk University, School Of Engineering, Kasturbadham",246,11371001,11371246,Gujarat
1308,Roland Institute of Technology,150,13081001,13081150,Orissa
1048,"Royal College Of Engineering & Technology, Akkikavu",246,10481001,10481246,Kerala
1111,"Rvs College Of Engineering And Technology, Coimbatore",246,11111001,11111246,Tamil Nadu
1113,"S. B. Patil College Of Engineering, Indapur",246,11131001,11131246,Maharashtra
1116,"S. G. S. Institute Of Technology & Science, Indore",246,11161001,11161246,Madhya Pradesh
1112,"S. V. U. College Of Engineering, Tirupati",286,11121001,11121286,Andhra Pradesh
1047,"S.D.M. College Of Engineering & Technology, Dhavalagiri",246,10471001,10471246,Karnataka
1278,"S.D.M. Institute Of Technology, Ujire",246,12781001,12781246,Karnataka
1260,"S.K.N. Sinhgad College Of Engineering, Pandharpur",246,12601001,12601246,Maharashtra
1046,"Sagar Institute Of Research & Technology - Excellence, Bhopal",246,10461001,10461246,Madhya Pradesh
1292,Sagar Institute Of Science Technology Engineering,184,12921001,12921184,Madhya Pradesh
1042,"Saintgits College Of Engineering, Kottayam",246,10421001,10421246,Kerala
1018,Samrat Ashok Technological Institute,150,10181001,10181150,Madhya Pradesh
1114,"Sangam University, Itm, Bhilwara",246,11141001,11141246,Rajasthan
1276,"Sankalchand Patel College Of Engineering, Visnagar",246,12761001,12761246,Gujarat
1297,Sardar Patel Institute of Technology,150,12971001,12971150,Gujarat
1229,"Sardar Patel Institute Of Technology, Andheri",246,12291001,12291246,Maharashtra
1010,"Sardar Vallabhbhai National Institute Of Technology, Surat",246,10101001,10101246,Gujarat
1298,Sardar Vallabhbhai Patel Institute Of Technology,184,12981001,12981184,Gujarat
1284,"Saroj Mohan Institute Of Technology, Guptipara",246,12841001,12841246,West Bengal
1043,"Sarvajanik College Of Engineering & Technology, Surat",246,10431001,10431246,Gujarat
1140,"Sastra University, Tirumalaisamudram",247,11401001,11401247,Tamil Nadu
1044,"Sasurie College Of Engineering, Vijayamangalam",246,10441001,10441246,Tamil Nadu
1045,"Saveetha Engineering College, Thandalam",246,10451001,10451246,Tamil Nadu
1247,"School Of Management Sciences, Technical Campus, Kasimpur Biruha",246,12471001,12471246,Uttar Pradesh
1293,Seacom Engineering College,184,12931001,12931184,West Bengal
1315,Selvam College Of Technology,184,13151001,13151184,Tamil Nadu
1250,"Sharad Institute Of Technology College Of Engineering, Yadrav",246,12501001,12501246,Maharashtra
1115,Shivaji University Kolhapur,184,11151001,11151184,Maharashtra
1264,"Shoolini University, Solan",246,12641001,12641246,Himachal Pradesh
1306,Shree L R Tiwari College Of Engineering,184,13061001,13061184,Maharashtra
7000,Shri Bhairavnath Vidya Mandir,200,70001001,70001200,Maharashtra
1041,"Shri Mata Vaishno Devi University, Katra",246,10411001,10411246,Jammu and Kashmir
1248,"Shri Sant Gadge Baba College Of Engineering & Technology, Bhusawal",246,12481001,12481246,Maharashtra
1022,"Shri Sant Gajanan Maharaj College Of Engineering, Shegaon",244,10221001,10221244,Maharashtra
1240,"Shri Shankaracharya Institute Of Professional Management & Technology, Raipur",246,12401001,12401246,Chhattisgarh
1117,"Shri Vaishnav Institute Of Technology & Science, Indore",246,11171001,11171246,Madhya Pradesh
1066,"Shrinathji Institute Of Technology & Engineering, Nathdwara",246,10661001,10661246,Rajasthan
1285,"Siddaganga Institute Of Technolgy, Tumkur",44,12851001,12851044,Karnataka
1217,"Sies Graduate School Of Technology, Nerul, Navi Mumbai",246,12171001,12171246,Maharashtra
1309,Silicon Institute of Technology,150,13091001,13091150,Orissa
1310,Silicon Institute of Technology,150,13101001,13101150,Orissa
1334,Siliguri Institute of Technology,150,13341001,13341150,West Bengal
1132,"Sir Padampat Singhania University, Bhatewar",246,11321001,11321246,Rajasthan
1226,"Skp Engineering College, Tiruvannamalai",246,12261001,12261246,Tamil Nadu
1157,"Sona College Of Technology, Salem",246,11571001,11571246,Tamil Nadu
1150,"Sou Sushila Danchand Ghodawat Charitable Trust`S Sgi, Atigre",246,11501001,11501246,Maharashtra
1302,Sree Buddha College Of Engineering,184,13021001,13021184,Kerala
1256,"Sree Dattha Institute Of Engineering & Science, Hyderabad",246,12561001,12561246,Andhra Pradesh
1303,Sree Narayana Gurukulam College Of Engineering Kadayiruppu,184,13031001,13031184,Kerala
1282,"Sri Eshwar College Of Engineering, Coimbatore",246,12821001,12821246,Tamil Nadu
1118,"Sri Jayachamarajendra College Of Engineering, Mysore",246,11181001,11181246,Karnataka
1249,"Sri Ramakrishna Institute Of Technology, Coimbatore",246,12491001,12491246,Tamil Nadu
1267,"Sri Shakthi Institute Of Engineering & Technology, Chinniyampalayam",44,12671001,12671044,Tamil Nadu
1211,Sri Shanmugha College Of Engineering Technology,184,12111001,12111184,Tamil Nadu
1214,"Srinivas Institute Of Technology, Valachil, Mangalore",246,12141001,12141246,Karnataka
1035,Srinivasa Institute of Engineering & Technology,246,10351001,10351246,Andhra Pradesh
1151,"Srm University, Kancheepuram",246,11511001,11511246,Tamil Nadu
1119,"Ssbt`S College Of Engineering And Technology, Bambhori",246,11191001,11191246,Maharashtra
1253,"Ssm College Of Engineering, Komarapalayam",246,12531001,12531246,Tamil Nadu
1120,"St. Aloysius Institute Of Technology, Jabalpur",246,11201001,11201246,Madhya Pradesh
1067,"St. Francis Institute Of Technology, Borivali West",246,10671001,10671246,Maharashtra
1152,"St. Joseph`S College Of Engineering & Technology, Palai",246,11521001,11521246,Kerala
1031,"St. Margaret Engineering College, Neemrana",246,10311001,10311246,Rajasthan
1213,"St. Peter`S Engineering College, Hyderabad",246,12131001,12131246,Tamil Nadu
1026,"St. Xaviers Catholic College Of Engineering, Chunkankadai",246,10261001,10261246,Tamil Nadu
1245,"Stc School Of Engineering & Research Technology, Khamgaon",246,12451001,12451246,Maharashtra
1027,"Sudharsan Engineering College, Sathiyamangalam",246,10271001,10271246,Tamil Nadu
1144,"Sushila Devi Bansal College Of Engineering (Kcb Technical Academy), Indore",246,11441001,11441246,Madhya Pradesh
1281,"Sveri`S College Of Engineering, Pandharpur",546,12811001,12811546,Maharashtra
1121,"Svp Engineering College, Visakhapatnam",246,11211001,11211246,Andhra Pradesh
1274,"Svs Group Of Institutions, Hanamkonda",246,12741001,12741246,Andhra Pradesh
1190,"Symbiosis Institute Of Computer Studies & Research, Pune",246,11901001,11901246,Maharashtra
1028,"Tatyasaheb Kore Institute Of Engineering & Technology, Warananagar",246,10281001,10281246,Maharashtra
1268,"Techno India College Of Technology, Rajarhat Kolkata",246,12681001,12681246,West Bengal
1122,"Techno India Njr Institute Of Technology, Udaipur",246,11221001,11221246,Rajasthan
1263,"Techno India, Salt Lake Kolkata",245,12631001,12631245,West Bengal
1277,"Technology Education & Research Integrated Institutions, Kurukshetra",246,12771001,12771246,Haryana
1029,"Terna Engineering College, Nerul Navi Mumbai",246,10291001,10291246,Maharashtra
1153,"Tezpur University, Tezpur",246,11531001,11531246,Assam
1123,"Thakral College Of Technology, Bhopal",246,11231001,11231246,Madhya Pradesh
1068,"Thakur College Of Engineering & Technology, Kandivali (E)",246,10681001,10681246,Maharashtra
1154,"Thanthai Periyar Government Institute Of Technology, Vellore",246,11541001,11541246,Tamil Nadu
1172,"Theem College Of Engineering, Boisar East",224,11721001,11721224,Maharashtra
1173,"Thiagarajar College Of Engineering, Madurai",246,11731001,11731246,Tamil Nadu
1174,"Toc H Institute Of Science & Technology, Arakkunnam",246,11741001,11741246,Kerala
1124,"Truba College Of Engineering & Technology, Indore",246,11241001,11241246,Madhya Pradesh
1175,"Truba College Of Science & Technology, Bhopal",286,11751001,11751286,Madhya Pradesh
1125,"Turbomachninary Institute Of Technology & Science, Patancheru",286,11251001,11251286,Andhra Pradesh
1286,"U V Patel College Of Engineering, Kherva",246,12861001,12861246,Gujarat
1176,"University B.D.T. College Of Engineering, Davangere",244,11761001,11761244,Karnataka
1270,University of Petroleum and Energy Studies,150,12701001,12701150,Uttaranchal
1009,"Veermata Jijabai Technological Institute, Mumbai",244,10091001,10091244,Maharashtra
1177,"Vels University, Pallavaram",286,11771001,11771286,Tamil Nadu
1015,"Vidya Pratisthan College Of Engineering, Baramati",246,10151001,10151246,Maharashtra
1230,"Vidyaa Vikas College Of Engineering & Technology, Tiruchengode",246,12301001,12301246,Tamil Nadu
1178,"Vidyabharti Trust Institute Of Technology & Research Center, Umrakh",246,11781001,11781246,Gujarat
1288,"Vidyalankar Institute Of Technology, Wadala",246,12881001,12881246,Maharashtra
1126,"Vignan Institute Of Technology And Science, Deshmukhi",246,11261001,11261246,Andhra Pradesh
1183,Vignans Institute of Information and Technology,150,11831001,11831150,Andhra Pradesh
1127,"Vishwakarma Institute Of Technology, Pune",246,11271001,11271246,Maharashtra
1128,"Visvesvaraya National Institute Of Technology, Nagpur",246,11281001,11281246,Maharashtra
1179,"Viswajyothi College Of Engineering & Technology, Vazhkulam",246,11791001,11791246,Kerala
1129,"Vit University, Vellore",246,11291001,11291246,Tamil Nadu
1181,"Vivekananda Institute Of Technology, Jagatpura",246,11811001,11811246,Rajasthan
1024,Vivekanandha College Of Engineering For Women,184,10241001,10241184,Tamil Nadu
7002,VPM Thanes Maharshi Parsuram College of Engineering,100,70021001,70021100,Maharashtra
1130,"Walchand College Of Engineering, Sangli",246,11301001,11301246,Maharashtra
1131,"Walchand Institute Of Technology, Solapur",246,11311001,11311246,Maharashtra
1155,"Yeshwantaro Chavan College Of Engineering, Wanadongri",246,11551001,11551246,Maharashtra
